Subject,Action,Object
Electrical stability,achieved in,THGEM detectors
THGEM detectors,deal with,Large charge avalanches
Electrical stability,achieved using,Cascaded structures
Cascaded structures,help distribute,Charge multiplication
Cascaded structures,prevent,Electric field distortions
Electric field distortions,could lead to,Discharges
THGEM detectors,used for,achieving electrical stability
THGEM detectors,dealing with,large charge avalanches
cascaded structures,help to distribute,charge multiplication
cascaded structures,prevent,excessive electric field distortions
excessive electric field distortions,could lead to,discharges
Haag's theorem,forbids,unitary equivalence
Haag's theorem,forbids,non-interacting theory
regulated theory,depends on,regulator
JUNO,has,low energy detection threshold
JUNO,has,excellent energy resolution
JUNO,allows,atmospheric neutrino oscillation measurements
Interfacial Microfluidic Membrane Processing (IMMP) methodology,allows,crystallization of MOF membranes
Interfacial Microfluidic Membrane Processing (IMMP) methodology,used in,experiment
MOF membranes,crystallization at,liquid-solid interface
liquid-solid interface,created at/near,hollow fiber surface
supply of reactants,used to,create liquid-solid interface
Interfacial Microfluidic Membrane Processing (IMMP) methodology,used to grow,ZIF-8 membranes
ZIF-8 membranes,grown on,inner surfaces of macroporous poly(amide-imide
CLTDs,contribute to,heavy ion physics research
CLTDs,offer,high-resolution energy detection
CLTDs,have,a wide range of applications in heavy ion physics research
CLTDs,provide,valuable insights into nuclear structure
CLTDs,provide,valuable insights into astrophysics
CLTDs,provide,valuable insights into atomic physics
CLTDs,provide,valuable insights into the interaction of heavy ions with matter
CLTDs,enable,precise measurements
CLTDs,enable,improved sensitivity
CLTDs,enable,the identification of rare isotopes
CLTDs,lead to,advancements in our understanding of fundamental processes and phenomena in heavy ion physics
Fermi constant,can be expressed in terms of,dimensionless coupling of the SM
Fermi constant,can be expressed in terms of,mass of the charged weak bosons
charged weak bosons,are on the order of,electroweak symmetry breaking scale
Review,involves,Gauge fields
Gauge fields,associated with,Forces
Yang-Mills,reviewed in terms of,Associated forces
AB,reviewed in terms of,Associated forces
AC,reviewed in terms of,Associated forces
Berry-Pancharatnam,reviewed in terms of,Associated forces
Spin-orbit gauge fields,reviewed in terms of,Associated forces
Elements of array programming,include,multidimensional slices
Elements of array programming,include,elementwise operations
Elements of array programming,include,broadcasting
Elements of array programming,include,array reduction
Elements of array programming,include,masking
Elements of array programming,include,fancy indexing
Elements of array programming,include,row/column commutativity
PAF-1-CH_2NH_2,has the strongest capability to interact with,CO_2
 BESIII detector,has trigger rate,4 KHz
 BESIII detector,has peak data rate,40 MB/s
Gribov-Zwanziger approach,is a functional method based on,studies of the effects of gauge fixing on the theory
Gribov-Zwanziger approach,desire to eliminate,effects of Gribov copies
anti-particles,source,cosmic ray flux
anti-particles,produced via,hadronic interactions
anti-particles,produced via,pair-production
pair-production,in,strong magnetic fields
strong magnetic fields,of,pulsars
Metal ions,can be loaded on,CNTs
CNTs,improve,gas permeation in MMMs
CNTs,used to load,CO2 carriers
CNT,build,facilitated transport highways
Zn^2+,selected as,CO2 carriers
Imidazole groups,selected as,CO2 carriers
WFCTA,uses,telescopes
WFCTA,measures,proton spectrum
WFCTA,measures,helium spectrum
telescopes,pointed at,zenith angle
telescopes,pointed at,30durations
quarks,transition_to,hadrons
probing the extreme ultraviolet physics,lead_to,possibly completely different physics with different degrees of freedom
Carpet-2,detects,extensive air showers
Carpet-2,has,surface array of scintillator detector stations
surface array of scintillator detector stations,detects,electromagnetic component of extensive air showers
Carpet-2,has,underground scintillator detector
underground scintillator detector,detects,muonic component of extensive air showers
Imaging X-ray Polarimetry Explorer,is a,space-based observatory
Imaging X-ray Polarimetry Explorer,designed to measure,polarization of cosmic X-rays
future IceCube array,includes,R&D activities
R&D activities,involve,surface array detector
surface array detector,combines,different techniques
different techniques,include,scintillation array
different techniques,include,Cherenkov telescope stations
different techniques,include,radio array
surface array detector,serves as,calibration device
surface array detector,serves as,veto detector
surface array detector,serves as,cosmic-ray detector
particle intensity,defined as,number N of particles
particle intensity,defined as,energy E
